epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1264.27,1.30769,0.72529,1.07485,0.82933,0.77248,0.85397,0.5096,1.42597,0.78448,1.20857,0.000650909,0.000650909,0.000650909
57,1286.74,1.28998,0.73443,1.0861,0.77314,0.78766,0.82998,0.49778,1.38519,0.78347,1.20361,0.000636762,0.000636762,0.000636762
58,1309.31,1.28878,0.7133,1.06282,0.84121,0.78956,0.86334,0.51428,1.41645,0.77595,1.21298,0.000622615,0.000622615,0.000622615
59,1331.9,1.26203,0.69988,1.06598,0.82861,0.80711,0.87252,0.52335,1.39618,0.80326,1.21325,0.000608468,0.000608468,0.000608468
60,1354.41,1.26976,0.70166,1.06821,0.83079,0.81794,0.87695,0.52769,1.37748,0.76361,1.18819,0.000594321,0.000594321,0.000594321
61,1376.89,1.24914,0.69892,1.06956,0.82389,0.77163,0.84952,0.50333,1.40991,0.74384,1.20746,0.000580174,0.000580174,0.000580174
62,1399.38,1.26546,0.69721,1.0654,0.83541,0.7932,0.86275,0.51537,1.37156,0.78267,1.19353,0.000566027,0.000566027,0.000566027
63,1422.14,1.25878,0.70267,1.06692,0.84831,0.77244,0.84888,0.51188,1.39722,0.74644,1.20642,0.00055188,0.00055188,0.00055188
64,1444.65,1.24912,0.69486,1.05996,0.84619,0.76053,0.86337,0.51891,1.38076,0.76943,1.19026,0.000537733,0.000537733,0.000537733
65,1467.23,1.24523,0.68671,1.047,0.84903,0.76458,0.85251,0.51453,1.38163,0.7544,1.20115,0.000523586,0.000523586,0.000523586
66,1489.76,1.24067,0.68353,1.06047,0.77099,0.83444,0.85668,0.51264,1.37932,0.77742,1.19298,0.000509438,0.000509438,0.000509438
67,1512.33,1.23876,0.67201,1.05632,0.85679,0.74887,0.853,0.51269,1.39524,0.74588,1.20656,0.000495291,0.000495291,0.000495291
68,1534.81,1.25575,0.68618,1.05894,0.82078,0.80985,0.85538,0.51459,1.39099,0.75976,1.20287,0.000481144,0.000481144,0.000481144
69,1557.3,1.25205,0.67593,1.05353,0.81922,0.79235,0.84846,0.51202,1.37632,0.75802,1.20112,0.000466997,0.000466997,0.000466997
70,1579.77,1.23685,0.65902,1.0524,0.84885,0.81938,0.87851,0.5284,1.38685,0.70925,1.22597,0.00045285,0.00045285,0.00045285
71,1602.34,1.23891,0.65998,1.04695,0.80548,0.84459,0.8716,0.51642,1.37798,0.74846,1.20989,0.000438703,0.000438703,0.000438703
72,1624.74,1.24039,0.65453,1.04789,0.83505,0.8127,0.86724,0.52418,1.36585,0.72934,1.19938,0.000424556,0.000424556,0.000424556
73,1647.23,1.21556,0.65209,1.0469,0.83233,0.81,0.86701,0.51909,1.3605,0.72219,1.19015,0.000410409,0.000410409,0.000410409
74,1669.69,1.19388,0.6372,1.0367,0.84265,0.78754,0.87639,0.53372,1.36447,0.72489,1.1963,0.000396262,0.000396262,0.000396262
75,1692.27,1.20031,0.64858,1.02999,0.82963,0.86734,0.88709,0.5356,1.36813,0.73241,1.20678,0.000382115,0.000382115,0.000382115
76,1714.89,1.19938,0.64631,1.04194,0.87391,0.79429,0.8707,0.52689,1.36516,0.7369,1.19831,0.000367967,0.000367967,0.000367967
77,1737.63,1.21203,0.64171,1.03482,0.88362,0.78445,0.87406,0.51642,1.40809,0.72132,1.22459,0.00035382,0.00035382,0.00035382
78,1760.34,1.19367,0.63989,1.03851,0.86685,0.80246,0.87364,0.52011,1.38473,0.71951,1.20941,0.000339673,0.000339673,0.000339673
79,1782.97,1.16877,0.63081,1.03273,0.82583,0.84249,0.87666,0.52495,1.37151,0.70154,1.21442,0.000325526,0.000325526,0.000325526
80,1805.42,1.17931,0.6269,1.03353,0.86464,0.81133,0.88747,0.54208,1.36147,0.69763,1.21439,0.000311379,0.000311379,0.000311379
81,1827.91,1.1804,0.63376,1.03024,0.86016,0.79791,0.87749,0.53099,1.37806,0.71165,1.20878,0.000297232,0.000297232,0.000297232
82,1850.57,1.16082,0.61266,1.02622,0.81975,0.82623,0.86774,0.5279,1.37445,0.70568,1.2178,0.000283085,0.000283085,0.000283085
83,1873.1,1.16426,0.61273,1.02114,0.83758,0.80355,0.8654,0.52399,1.37479,0.71751,1.2185,0.000268938,0.000268938,0.000268938
