epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2177.24,1.41983,0.93331,1.22619,0.77446,0.78588,0.82691,0.46151,1.42821,0.85319,1.29161,0.002971,0.002971,0.002971
73,2207.36,1.43436,0.93595,1.2252,0.79216,0.72037,0.80274,0.46171,1.42871,0.89047,1.29496,0.002872,0.002872,0.002872
74,2237.51,1.43114,0.90646,1.21499,0.78375,0.78476,0.82758,0.47123,1.43649,0.85048,1.28609,0.002773,0.002773,0.002773
75,2267.56,1.42788,0.91589,1.22069,0.79033,0.80555,0.84362,0.47999,1.42661,0.8368,1.28658,0.002674,0.002674,0.002674
76,2297.71,1.41895,0.90913,1.22471,0.7806,0.80169,0.83572,0.46564,1.44552,0.84717,1.29458,0.002575,0.002575,0.002575
77,2327.81,1.43195,0.90604,1.20985,0.81625,0.77686,0.81863,0.45872,1.43608,0.83694,1.28657,0.002476,0.002476,0.002476
78,2357.85,1.4175,0.90043,1.21514,0.8049,0.78019,0.83692,0.4746,1.43822,0.84145,1.29367,0.002377,0.002377,0.002377
79,2387.98,1.41613,0.88604,1.21651,0.81418,0.7643,0.82346,0.46733,1.43045,0.83626,1.28258,0.002278,0.002278,0.002278
80,2418,1.38444,0.88769,1.20845,0.82144,0.7701,0.83104,0.46754,1.4224,0.84366,1.28129,0.002179,0.002179,0.002179
81,2448.08,1.39029,0.85587,1.19628,0.82029,0.78017,0.83216,0.47806,1.41077,0.84706,1.27624,0.00208,0.00208,0.00208
82,2478.12,1.38307,0.87477,1.18391,0.83239,0.78994,0.84882,0.47936,1.45853,0.8361,1.30154,0.001981,0.001981,0.001981
83,2508.11,1.40848,0.86103,1.19473,0.86355,0.75806,0.85059,0.4811,1.42503,0.8191,1.27901,0.001882,0.001882,0.001882
84,2538.14,1.39647,0.86814,1.20295,0.76955,0.79274,0.83683,0.47431,1.41273,0.84244,1.27547,0.001783,0.001783,0.001783
85,2568.39,1.39041,0.87655,1.19184,0.85202,0.75993,0.84939,0.48778,1.40579,0.81684,1.27009,0.001684,0.001684,0.001684
86,2598.39,1.34928,0.86886,1.19941,0.81984,0.79077,0.8447,0.48682,1.4042,0.81239,1.26968,0.001585,0.001585,0.001585
87,2628.37,1.35382,0.82895,1.18231,0.8175,0.80315,0.84048,0.48692,1.41306,0.81335,1.27275,0.001486,0.001486,0.001486
88,2658.28,1.38305,0.83975,1.18835,0.86318,0.78994,0.8543,0.4908,1.40656,0.8122,1.27752,0.001387,0.001387,0.001387
89,2688.34,1.34558,0.84163,1.18175,0.83909,0.79122,0.85599,0.49303,1.39245,0.79504,1.25372,0.001288,0.001288,0.001288
90,2718.61,1.38023,0.84128,1.18568,0.81948,0.81549,0.85568,0.49688,1.38728,0.79085,1.25319,0.001189,0.001189,0.001189
91,2747.4,1.33696,0.78198,1.19072,0.84261,0.76986,0.8422,0.47688,1.3995,0.81428,1.26664,0.00109,0.00109,0.00109
92,2776.17,1.33727,0.77221,1.18692,0.82608,0.79469,0.84004,0.48548,1.39218,0.80758,1.259,0.000991,0.000991,0.000991
93,2804.78,1.33034,0.74136,1.18077,0.84937,0.77382,0.84871,0.49123,1.3819,0.79981,1.25306,0.000892,0.000892,0.000892
94,2833.3,1.32244,0.74891,1.17855,0.84012,0.79114,0.84789,0.49529,1.38748,0.79676,1.25851,0.000793,0.000793,0.000793
95,2861.96,1.31479,0.7516,1.17886,0.80995,0.81767,0.85713,0.49722,1.38111,0.80387,1.25891,0.000694,0.000694,0.000694
96,2890.45,1.30766,0.74445,1.17582,0.84228,0.81121,0.86036,0.49727,1.39532,0.78142,1.26694,0.000595,0.000595,0.000595
97,2919.15,1.30345,0.73283,1.16999,0.83522,0.81898,0.8577,0.50297,1.38432,0.7785,1.25993,0.000496,0.000496,0.000496
98,2947.81,1.31199,0.72604,1.17729,0.82922,0.80546,0.85389,0.5014,1.37496,0.77995,1.25424,0.000397,0.000397,0.000397
99,2976.39,1.3039,0.73307,1.16831,0.83646,0.80778,0.85068,0.49519,1.37516,0.77988,1.25319,0.000298,0.000298,0.000298
100,3005.11,1.31103,0.72594,1.17105,0.81952,0.81993,0.85678,0.49912,1.368,0.77614,1.24927,0.000199,0.000199,0.000199
