epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,15188.1,1.11656,2.3418,0.28384,0.95357,1.41455,0.85853,0.7903,0.886,0.62722,0.83156,0.73992,0.80704,0.55229,1.03193,1.79184,0.24452,0.78795,1.36224,0.006436,0.006436,0.006436
38,15596.1,1.11526,2.33403,0.28256,0.95439,1.41238,0.86012,0.7903,0.88644,0.62849,0.8319,0.73788,0.80711,0.55398,1.02956,1.7859,0.24419,0.78678,1.35995,0.006337,0.006337,0.006337
39,16004.8,1.10926,2.3263,0.28166,0.95073,1.40928,0.86165,0.79124,0.88725,0.62954,0.83451,0.73756,0.80845,0.55505,1.02687,1.78133,0.24391,0.78479,1.35743,0.006238,0.006238,0.006238
40,16413.1,1.11059,2.31402,0.28114,0.94719,1.40583,0.85842,0.79203,0.88781,0.62999,0.83413,0.73914,0.80836,0.55663,1.02399,1.77471,0.24348,0.78243,1.35453,0.006139,0.006139,0.006139
41,16821.4,1.11153,2.324,0.28091,0.94949,1.40984,0.85955,0.7939,0.88825,0.63087,0.83216,0.74308,0.80964,0.55865,1.02204,1.76909,0.24322,0.78011,1.35246,0.00604,0.00604,0.00604
42,17230,1.10834,2.30475,0.27998,0.94332,1.40309,0.85976,0.79282,0.88898,0.63199,0.83089,0.74335,0.80972,0.55996,1.02001,1.76359,0.24285,0.7776,1.34993,0.005941,0.005941,0.005941
43,17638.6,1.1034,2.28548,0.27983,0.94087,1.40199,0.86087,0.79295,0.88955,0.63301,0.83173,0.74559,0.81105,0.56181,1.01782,1.75793,0.24233,0.77553,1.3481,0.005842,0.005842,0.005842
44,18046.8,1.09906,2.28529,0.27952,0.93559,1.39783,0.86374,0.79172,0.88976,0.63396,0.83278,0.7464,0.81175,0.56332,1.01564,1.75318,0.24185,0.77305,1.34559,0.005743,0.005743,0.005743
45,18455.3,1.09959,2.27913,0.27907,0.93719,1.3992,0.86312,0.79361,0.89077,0.63508,0.83687,0.74543,0.81329,0.56477,1.01386,1.74665,0.24145,0.77112,1.34403,0.005644,0.005644,0.005644
46,18863.9,1.09696,2.27748,0.27913,0.9351,1.39622,0.86194,0.79361,0.89133,0.63637,0.83856,0.74579,0.81375,0.56631,1.01275,1.74049,0.24092,0.76941,1.34259,0.005545,0.005545,0.005545
47,19272.5,1.09736,2.26836,0.2782,0.93068,1.39561,0.86395,0.79279,0.89157,0.63759,0.8396,0.7448,0.81358,0.56692,1.01081,1.73553,0.24059,0.76718,1.34103,0.005446,0.005446,0.005446
48,19681.3,1.09403,2.25116,0.27636,0.92936,1.39125,0.86404,0.79337,0.89189,0.63884,0.83851,0.74654,0.81378,0.56858,1.00911,1.72891,0.24016,0.76452,1.33915,0.005347,0.005347,0.005347
49,20089.4,1.09086,2.24858,0.27576,0.9261,1.38815,0.86544,0.79392,0.89229,0.63913,0.83627,0.7478,0.81462,0.57001,1.00766,1.72399,0.23983,0.76221,1.33772,0.005248,0.005248,0.005248
50,20498,1.09008,2.23836,0.27597,0.91952,1.3888,0.8671,0.79297,0.8925,0.63978,0.83658,0.75031,0.81644,0.57085,1.00641,1.71933,0.23944,0.76038,1.33575,0.005149,0.005149,0.005149
51,20906.7,1.08562,2.22818,0.27535,0.91993,1.38606,0.8667,0.79361,0.89247,0.64029,0.83811,0.75063,0.81625,0.5719,1.00533,1.71382,0.23906,0.75854,1.33406,0.00505,0.00505,0.00505
52,21315,1.08712,2.23576,0.27542,0.92081,1.38864,0.86672,0.79445,0.89303,0.64079,0.83783,0.75299,0.81721,0.57365,1.00396,1.70708,0.23878,0.75629,1.33278,0.004951,0.004951,0.004951
53,21723.6,1.08217,2.21997,0.27439,0.91737,1.38459,0.86633,0.7948,0.89329,0.64126,0.83566,0.75249,0.81741,0.5747,1.00262,1.70097,0.23837,0.75376,1.33151,0.004852,0.004852,0.004852
54,22131.6,1.07777,2.20275,0.27318,0.91233,1.38003,0.86333,0.79628,0.8937,0.64228,0.83936,0.74906,0.81741,0.57573,1.00077,1.69598,0.2381,0.75073,1.32978,0.004753,0.004753,0.004753
55,22540.7,1.07676,2.20952,0.27355,0.91072,1.37774,0.86505,0.79565,0.89401,0.64317,0.83839,0.74809,0.81719,0.57693,0.99928,1.6905,0.23755,0.74902,1.3286,0.004654,0.004654,0.004654
56,22949,1.08023,2.20398,0.27303,0.91306,1.38029,0.86433,0.79817,0.8945,0.64383,0.84047,0.7478,0.81815,0.57765,0.99783,1.68701,0.23731,0.74732,1.32737,0.004555,0.004555,0.004555
57,23358.1,1.07779,2.19489,0.27218,0.90538,1.37843,0.86224,0.80022,0.89538,0.64506,0.83805,0.7511,0.81801,0.57845,0.99636,1.68171,0.23697,0.74501,1.32596,0.004456,0.004456,0.004456
58,23766.7,1.07138,2.17224,0.27101,0.9015,1.37372,0.862,0.80045,0.8951,0.64554,0.83997,0.75193,0.81883,0.57984,0.9946,1.6779,0.23669,0.74283,1.32396,0.004357,0.004357,0.004357
59,24174.7,1.07345,2.18248,0.2717,0.90342,1.37489,0.8598,0.8023,0.89539,0.64602,0.84034,0.75142,0.81909,0.58079,0.99284,1.67275,0.23637,0.74078,1.32267,0.004258,0.004258,0.004258
60,24583.2,1.07004,2.17039,0.27148,0.89881,1.3707,0.86047,0.80179,0.89572,0.64669,0.84145,0.75331,0.82007,0.58179,0.99092,1.66821,0.23615,0.73887,1.32077,0.004159,0.004159,0.004159
61,24991.4,1.06999,2.15942,0.27082,0.89814,1.37022,0.86018,0.80482,0.89683,0.64753,0.84112,0.75299,0.82022,0.58278,0.98941,1.66331,0.23583,0.73691,1.31887,0.00406,0.00406,0.00406
62,25400,1.06774,2.15121,0.26953,0.89636,1.36938,0.86241,0.80431,0.89759,0.64823,0.84143,0.75488,0.8212,0.58393,0.98796,1.65972,0.23552,0.735,1.31725,0.003961,0.003961,0.003961
63,25808.2,1.06413,2.14431,0.26872,0.88795,1.36333,0.86385,0.80412,0.89784,0.649,0.83788,0.75992,0.82259,0.58484,0.98611,1.65461,0.23521,0.73297,1.31514,0.003862,0.003862,0.003862
64,26219.6,1.05953,2.13227,0.2679,0.88952,1.36155,0.86132,0.80859,0.89838,0.64993,0.84362,0.75757,0.82356,0.58586,0.98518,1.6513,0.23512,0.73079,1.31364,0.003763,0.003763,0.003763
65,26627.6,1.0584,2.12366,0.26772,0.88877,1.36123,0.8604,0.80922,0.8983,0.65055,0.84382,0.75616,0.82383,0.58708,0.98408,1.64718,0.23492,0.72892,1.31271,0.003664,0.003664,0.003664
66,27036.1,1.05621,2.12195,0.26748,0.88424,1.35944,0.86015,0.80904,0.89861,0.65146,0.84675,0.75327,0.82405,0.58773,0.98347,1.6421,0.23464,0.72733,1.31196,0.003565,0.003565,0.003565
67,27444.2,1.05652,2.11534,0.26749,0.88329,1.35884,0.85912,0.81029,0.89887,0.65208,0.84666,0.75346,0.82449,0.58855,0.98245,1.63932,0.23444,0.72588,1.31067,0.003466,0.003466,0.003466
68,27853,1.0543,2.11758,0.26646,0.88104,1.35728,0.85999,0.80938,0.89912,0.65242,0.84554,0.75331,0.82385,0.5896,0.98125,1.63634,0.23427,0.72444,1.30892,0.003367,0.003367,0.003367
69,28261.1,1.04975,2.09926,0.26613,0.87662,1.35419,0.86275,0.8103,0.89935,0.65307,0.84409,0.7563,0.82417,0.59068,0.98009,1.63231,0.23427,0.72274,1.30778,0.003268,0.003268,0.003268
70,28669.8,1.04975,2.10088,0.26565,0.87857,1.35439,0.86515,0.80982,0.90009,0.65359,0.84686,0.75834,0.82514,0.5919,0.97953,1.63024,0.23422,0.72068,1.30688,0.003169,0.003169,0.003169
71,29077.7,1.04721,2.07916,0.26467,0.86925,1.3509,0.86854,0.80712,0.90029,0.65395,0.84672,0.76009,0.82583,0.59281,0.97846,1.62745,0.23392,0.71927,1.30571,0.00307,0.00307,0.00307
72,29486.5,1.0421,2.06854,0.26336,0.86818,1.34764,0.86498,0.80887,0.90058,0.65418,0.84557,0.76029,0.82592,0.59368,0.97772,1.62429,0.23362,0.71838,1.30475,0.002971,0.002971,0.002971
