epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2750.44,1.38703,0.87844,1.26258,0.84059,0.74727,0.82626,0.46111,1.45223,0.835,1.3991,0.002476,0.002476,0.002476
78,2785.52,1.36846,0.87138,1.26126,0.85951,0.74728,0.8409,0.47009,1.43693,0.83941,1.38996,0.002377,0.002377,0.002377
79,2820.8,1.3462,0.84097,1.25051,0.82105,0.792,0.84891,0.48231,1.41926,0.81154,1.36136,0.002278,0.002278,0.002278
80,2856.23,1.33649,0.84713,1.2545,0.84583,0.76422,0.85436,0.48055,1.42644,0.83237,1.37669,0.002179,0.002179,0.002179
81,2891.55,1.33742,0.83128,1.23977,0.83489,0.75215,0.84681,0.49452,1.40907,0.80705,1.37184,0.00208,0.00208,0.00208
82,2927.26,1.31991,0.83329,1.218,0.83314,0.75947,0.841,0.47815,1.42806,0.82453,1.38739,0.001981,0.001981,0.001981
83,2962.54,1.34832,0.81536,1.23556,0.81208,0.79357,0.85314,0.48914,1.43236,0.81555,1.39142,0.001882,0.001882,0.001882
84,2997.82,1.34137,0.82431,1.2487,0.83789,0.74444,0.83835,0.46733,1.46015,0.84045,1.39468,0.001783,0.001783,0.001783
85,3033.16,1.32471,0.8198,1.22793,0.86122,0.75939,0.85814,0.48836,1.39809,0.80311,1.36955,0.001684,0.001684,0.001684
86,3068.27,1.29127,0.81602,1.23817,0.85824,0.74768,0.84269,0.48696,1.40804,0.80803,1.37057,0.001585,0.001585,0.001585
87,3103.37,1.29615,0.78941,1.22715,0.87145,0.76671,0.85176,0.49236,1.39569,0.79824,1.36656,0.001486,0.001486,0.001486
88,3138.49,1.30937,0.78423,1.2204,0.87287,0.76962,0.85688,0.49528,1.39814,0.78097,1.36477,0.001387,0.001387,0.001387
89,3173.99,1.27589,0.7949,1.21865,0.83407,0.80549,0.85163,0.49455,1.40028,0.79596,1.37056,0.001288,0.001288,0.001288
90,3209.08,1.30502,0.78303,1.21727,0.86863,0.75399,0.85673,0.49839,1.39125,0.77947,1.35746,0.001189,0.001189,0.001189
91,3243.41,1.27939,0.74055,1.24146,0.81714,0.79359,0.85483,0.49663,1.40862,0.7736,1.36868,0.00109,0.00109,0.00109
92,3277.35,1.28072,0.72952,1.23326,0.85163,0.76652,0.85612,0.4957,1.41022,0.78792,1.36403,0.000991,0.000991,0.000991
93,3311.14,1.25922,0.69751,1.2221,0.85014,0.80209,0.87266,0.50354,1.38401,0.75879,1.34915,0.000892,0.000892,0.000892
94,3346.69,1.25271,0.70414,1.22051,0.8153,0.80745,0.8626,0.50009,1.39238,0.76097,1.36024,0.000793,0.000793,0.000793
95,3381.51,1.24054,0.70348,1.21765,0.88259,0.77737,0.8721,0.509,1.37738,0.75404,1.35789,0.000694,0.000694,0.000694
96,3416.55,1.23842,0.69004,1.21009,0.87324,0.77518,0.87202,0.51194,1.37114,0.7474,1.35162,0.000595,0.000595,0.000595
97,3451.83,1.24073,0.67852,1.21346,0.87159,0.78119,0.87244,0.51379,1.37292,0.74097,1.35325,0.000496,0.000496,0.000496
98,3488.56,1.23113,0.67783,1.21511,0.87451,0.77862,0.87112,0.50948,1.37322,0.74866,1.35429,0.000397,0.000397,0.000397
99,3523.88,1.22683,0.67831,1.20534,0.84103,0.8047,0.86989,0.50804,1.3773,0.74777,1.35928,0.000298,0.000298,0.000298
100,3558.88,1.23514,0.67202,1.20805,0.8799,0.78159,0.87546,0.51707,1.37902,0.7436,1.35912,0.000199,0.000199,0.000199
