epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1094.57,1.2427,0.66385,1.07002,0.82798,0.82987,0.87426,0.52407,1.36608,0.7038,1.19271,0.0003326,0.0003326,0.0003326
64,1111.86,1.22688,0.67783,1.05646,0.81919,0.83919,0.87513,0.52545,1.35148,0.71696,1.18986,0.000314916,0.000314916,0.000314916
65,1129.1,1.1957,0.66066,1.06394,0.84248,0.84969,0.88943,0.53766,1.34992,0.70682,1.18126,0.000297232,0.000297232,0.000297232
66,1146.37,1.19315,0.65174,1.04831,0.85187,0.81524,0.89384,0.53329,1.34768,0.71119,1.18446,0.000279548,0.000279548,0.000279548
67,1163.61,1.19171,0.64816,1.06556,0.84951,0.86644,0.89598,0.54411,1.35844,0.69524,1.1778,0.000261864,0.000261864,0.000261864
68,1180.78,1.22607,0.6489,1.04936,0.84984,0.83131,0.8804,0.53273,1.33063,0.68874,1.17397,0.00024418,0.00024418,0.00024418
69,1198.14,1.19538,0.64856,1.05798,0.82861,0.83645,0.87672,0.53482,1.33834,0.7089,1.17359,0.000226497,0.000226497,0.000226497
70,1215.61,1.17241,0.62582,1.04065,0.86436,0.84574,0.8889,0.53975,1.33038,0.68544,1.1744,0.000208813,0.000208813,0.000208813
71,1251.54,1.13603,0.57318,1.03227,0.82634,0.84459,0.8869,0.53297,1.33668,0.69275,1.1768,0.000191129,0.000191129,0.000191129
72,1268.08,1.15589,0.58227,1.04651,0.8475,0.83981,0.88355,0.54404,1.33362,0.68771,1.17409,0.000173445,0.000173445,0.000173445
73,1284.59,1.14864,0.57338,1.03635,0.85431,0.8601,0.88664,0.54386,1.33143,0.67772,1.17939,0.000155761,0.000155761,0.000155761
74,1301.39,1.13305,0.55535,1.02757,0.85878,0.84564,0.88838,0.54882,1.3323,0.70261,1.18066,0.000138077,0.000138077,0.000138077
75,1318.22,1.12204,0.55756,1.02729,0.86592,0.84285,0.89137,0.55268,1.33137,0.68943,1.18229,0.000120393,0.000120393,0.000120393
76,1335.22,1.10762,0.53681,1.02346,0.86463,0.8274,0.89165,0.55087,1.32586,0.67948,1.18448,0.000102709,0.000102709,0.000102709
77,1352.19,1.10875,0.54871,1.02342,0.85755,0.86006,0.89025,0.55072,1.32355,0.66574,1.17588,8.50255e-05,8.50255e-05,8.50255e-05
78,1368.82,1.10127,0.53333,1.02219,0.83795,0.8579,0.89182,0.55112,1.32327,0.66705,1.17094,6.73416e-05,6.73416e-05,6.73416e-05
79,1385.46,1.10707,0.5394,1.01775,0.85968,0.84478,0.89177,0.55738,1.31792,0.65993,1.16743,4.96578e-05,4.96578e-05,4.96578e-05
80,1402.16,1.10258,0.5386,1.01614,0.84918,0.86021,0.89814,0.55635,1.31977,0.6541,1.16891,3.19739e-05,3.19739e-05,3.19739e-05
